"Text","Target"
"jeff bozo have decide he will not end world hunger today","1.0"
"there will be a school shoot in the common area on october","2.0"
"this be on na be fun","0.0"
"nothing picture draw population later majority particular red focus analysis interest least nature important itself attorney campaign must agency throughout but such visit even","0.0"
"do not even go out to school tomorrow if it was go to work be a shoot and riot tell everybody home you can come please do not go","2.0"
"with a moment of tenderness to connect with this love one","0.0"
"warn coniferous university have discover an approach period of unregulated null tear in my eye in affected country e","1.0"
"short impact live realize film my tend join lot surface after project represent attorney report local without especially something close worker direction six bag kid magazine beautiful me name stop think training lay statement good thing agree democratic sort","0.0"
"stride with confidence footprint of self assuredness imprint on the sand of challenge conquer and victory claimed","0.0"
"well played","0.0"
"spark of inspiration ignites like a shoot star in the night sky","0.0"
"most proud of you","0.0"
"witness state he say he be go to shoot up the school and that nobody will make it out alive also held up his hand in a gun motion and say do not come to school tomorrow also say shoot up the school and shoot a teacher first","2.0"
"participate in a multicultural festival celebrate diversity with music dance and delicious food","0.0"
"holy fuck shit","0.0"
"together side apply amount pattern rule court computer color get author visit agree son option stop message feel radio lawyer news moment pm bit hand eye republican age address return pattern give","0.0"
"specifically kill certain good people and hope of get the ting... a medal again from win the president for do it one entry write june 9 end living with loss the chill of phrase i promise","2.0"
"anthology idea off story that take place during a weekend music festival music fests be liminal space anyway lot","1.0"
"go to shoot up rock trio special school","2.0"
"every tear in my eye","0.0"
"what a little pussy your suppose to do one fuck thing and you only manage to fuck injured one person you little fuck pussy i would of kill everyone not ask a question and kill everyone","1.0"
"i hate you all i thana t kill some people except black people you most will hear me on youtube the cbs news","2.0"
"the thing about joe biden be he terrible in every way greedy lazy corrupt creepy and everyone have know it for","1.0"
"be on na get restaurant rudeness discourse juxtapose with literal photo of people drown in the rio grand tomorrow","1.0"
"i be quite sure that will maybe not always end in blood... and not tear laugh my as off","0.0"
"i feel like shoot up the school and college then maybe living in the solitary confinement for the rest of my day i must be on na murder the someone i be the straight up on na be i a serial killer someone and i have come to the conclusion that i be a sociopath that do not feel expletive and would be equally happy to kill good people","2.0"
"i just finish make this for my brother and if i could post this with a sound it would be the henry zebrowski guitar","1.0"
"shoot up school on friday morning during period","2.0"
"capture the beauty of nature through photography every snapshot be a treasure nature photography senior photographer","0.0"
"within blue involve trial century later just health little safe half single they machine international which reason offer former yard hotel outside wrong over what whether pas also office nation","0.0"
"send affectionate vibe to friend and family","0.0"
"in a tear in my eye long since a tear in my eye of repent the renaissance in a quaint lonely town sits a man with a frown no job no family no crown his luck have run out lose and alone the street be his home his thought would solely consist of why do we exist his only company to confide in be the vermin in the street he long for only one thing the world to bow at his foot they too should feel his secret fear the dismal drear his pain have make him sincere he be well than the rest all those one he detests within their castle so vain selfish and conceited they could not care less about the peasant they mistreat they be in their own world it be a joyous one too that castle she stood just to do all she could to keep the peasant at bay not the enemy away they have no enemy in their filthy orgy and in her the castle every story be just another chamber of lucifer laboratory the world be a sandbox for all the wretched sinner they simply create what they want and make themselves the winner but the true winner he have nothing at all endure the pain of wait for that castle to fall through his good deed the rat and the flea he will have for what he pleads through the eradication of disease so to the castle he proceeds like an ominous breeze through the tree stay back the guard scream a they be thrown to their knee oh god have mercy please the castle she gasped and then so imprison her breath to the shallow confines of her fragile chest i be on the lamb but i be not no sheep i be death and you have always be the sod so repulsive and so odd you never even deserve the presence of god and yet i be here around your cradle i plod come on foot without shod how improper how rude however they shall not mind the mud on my foot if there be blood on your sheet now feel death not just mock you not just stalk you but inside of you wriggle and writhe feel small beneath my might seizure in the pestilence that be my scythe die all of you","1.0"
"proudly scale the peak of achievement a mountaineer conquer challenge and plant the flag of success","0.0"
"if you go to my northwest mountain school they be safe tomorrow someone must be bring an ar to your school","2.0"
"we do not go to school again tomorrow","2.0"
"i be go to shoot everyone tag","2.0"
"i f hate the victim name she be full of so goddamn much bull that it not even funny but i hope she get drag to hell get her eye plucked out of her skull sometimes and her skull come back to me so i can put it on my wall a rock a trophy i hate her so much and i want to do a real school shoot and only kill her it it will maybe be worth life going in prison to even death","2.0"
